Year,m,d,Time,Time zone,Cloud amount (1/8),Pressure (msl) (hPa),Relative humidity (%),Precipitation intensity (mm/h),Snow depth (cm),Air temperature (degC),Dew-point temperature (degC),Horizontal visibility (m),Wind direction (deg),Gust speed (m/s),Wind speed (m/s)
2018,9,1,00:00,UTC,7,1021.5,99,,,15.1,15,18083,81,3.6,2.1
2018,9,1,00:10,UTC,7,1021.5,99,,,15.2,15,16923,81,3.4,1.9
2018,9,1,00:20,UTC,7,1021.6,99,,,15.1,15,16153,81,3.1,1.7
2018,9,1,00:30,UTC,7,1021.6,99,,,15.1,15,14669,78,3.8,1.7
2018,9,1,00:40,UTC,7,1021.6,100,,,15.1,15.1,12974,73,3.2,2
2018,9,1,00:50,UTC,7,1021.4,100,,,15.1,15,11373,58,3.4,2
2018,9,1,01:00,UTC,6,1021.4,100,,,14.9,14.9,10570,37,3.6,1.6
2018,9,1,01:10,UTC,6,1021.5,100,,,15.1,15.1,10381,80,3.1,1.8
2018,9,1,01:20,UTC,7,1021.4,100,,,15.2,15.2,9873,81,3.3,2
2018,9,1,01:30,UTC,7,1021.4,100,,,15.4,15.4,9843,65,3.8,2
2018,9,1,01:40,UTC,7,1021.4,100,,,15.5,15.5,9113,64,3.5,1.9
2018,9,1,01:50,UTC,7,1021.3,100,,,15.5,15.5,8461,71,4.1,2
2018,9,1,02:00,UTC,7,1021.3,100,,,15.5,15.5,8364,69,4,2.2
2018,9,1,02:10,UTC,7,1021.4,100,,,15.6,15.6,8671,71,3.9,2.4
2018,9,1,02:20,UTC,7,1021.4,100,,,15.7,15.7,8949,77,3.7,2.1
2018,9,1,02:30,UTC,7,1021.4,100,,,15.6,15.6,8283,69,3.8,1.9
2018,9,1,02:40,UTC,7,1021.4,100,,,15.6,15.6,7876,62,3.9,2
2018,9,1,02:50,UTC,7,1021.4,100,,,15.6,15.6,8255,66,3.5,2
2018,9,1,03:00,UTC,7,1021.4,100,,,15.7,15.7,8577,66,3.1,1.5
2018,9,1,03:10,UTC,7,1021.4,100,,,15.8,15.8,7949,56,3.3,1.8
2018,9,1,03:20,UTC,7,1021.4,100,,,15.8,15.8,8429,46,3.2,1.4
2018,9,1,03:30,UTC,7,1021.4,100,,,15.8,15.7,8298,54,3.7,2
2018,9,1,03:40,UTC,7,1021.5,100,,,15.8,15.8,8481,71,3.9,2
2018,9,1,03:50,UTC,7,1021.5,100,,,15.9,15.9,8519,77,3.6,2.1
2018,9,1,04:00,UTC,8,1021.5,99,,,16,15.9,8891,67,4.1,2.3
2018,9,1,04:10,UTC,7,1021.5,99,,,16,15.9,9069,69,3.8,2
2018,9,1,04:20,UTC,7,1021.5,99,,,16.1,16,9717,73,4.1,2.2
2018,9,1,04:30,UTC,7,1021.4,99,,,16.2,16,9868,75,4.3,2.3
2018,9,1,04:40,UTC,8,1021.4,99,,,16.2,16,8882,71,4.1,2.3
2018,9,1,04:50,UTC,8,1021.4,99,,,16.1,16,8720,66,4.1,2.4
