Year,m,d,Time,Time zone,Cloud amount (1/8),Pressure (msl) (hPa),Relative humidity (%),Precipitation intensity (mm/h),Snow depth (cm),Air temperature (degC),Dew-point temperature (degC),Horizontal visibility (m),Wind direction (deg),Gust speed (m/s),Wind speed (m/s)
2018,6,1,00:00,UTC,0,1023.7,86,,,7.2,4.9,50000,0,0,0
2018,6,1,00:10,UTC,0,1023.7,85,,,7,4.7,50000,0,0,0
2018,6,1,00:20,UTC,0,1023.6,88,,,6.4,4.6,50000,0,0,0
2018,6,1,00:30,UTC,0,1023.6,90,,,6.4,4.9,50000,135,1,0.5
2018,6,1,00:40,UTC,0,1023.5,91,,,6.4,5,50000,176,1.6,0.7
2018,6,1,00:50,UTC,0,1023.4,89,,,6.7,5,50000,207,2.1,0.9
2018,6,1,01:00,UTC,0,1023.3,84,,,7.2,4.6,50000,172,1.2,0.6
2018,6,1,01:10,UTC,0,1023.3,84,,,7.3,4.8,50000,200,1.9,0.7
2018,6,1,01:20,UTC,0,1023.3,75,,,9.1,5,50000,228,2.1,1.3
2018,6,1,01:30,UTC,0,1023.3,73,,,9,4.5,50000,214,2.4,1.4
2018,6,1,01:40,UTC,0,1023.2,66,,,10.7,4.7,50000,219,3.1,1.9
2018,6,1,01:50,UTC,0,1023.2,68,,,10,4.3,50000,216,3.3,1.9
2018,6,1,02:00,UTC,0,1023.2,69,,,9.7,4.3,50000,221,2.9,1.7
2018,6,1,02:10,UTC,0,1023.2,64,,,11.1,4.5,50000,228,3.1,1.8
2018,6,1,02:20,UTC,0,1023.2,64,,,11.2,4.6,50000,223,2.5,1.8
2018,6,1,02:30,UTC,0,1023.2,63,,,11.4,4.7,50000,232,2.7,1.8
2018,6,1,02:40,UTC,0,1023.3,64,,,11.7,5.1,50000,229,3.5,2.1
2018,6,1,02:50,UTC,0,1023.3,64,,,11.8,5.3,49352,232,3.6,2.2
2018,6,1,03:00,UTC,0,1023.1,65,,,11.9,5.6,50000,228,3.6,2.2
2018,6,1,03:10,UTC,0,1023,64,,,12.2,5.7,41828,226,3.7,2.4
2018,6,1,03:20,UTC,0,1022.9,64,,,12.5,5.9,45549,234,3.4,2.1
2018,6,1,03:30,UTC,0,1022.9,63,,,12.7,5.8,50000,236,3.1,2
2018,6,1,03:40,UTC,0,1023,63,,,13.1,6.2,47409,250,3,1.9
2018,6,1,03:50,UTC,0,1023,60,,,13.5,5.9,45320,239,3.2,1.8
2018,6,1,04:00,UTC,0,1023.1,59,,,13.9,6.1,45949,235,2.9,1.8
2018,6,1,04:10,UTC,0,1023.1,59,,,14.1,6.1,34535,232,3.5,2.3
2018,6,1,04:20,UTC,0,1023,58,,,14.4,6.3,41754,217,3.3,2.3
2018,6,1,04:30,UTC,0,1022.9,58,,,14.7,6.6,41109,217,4,2.7
2018,6,1,04:40,UTC,0,1022.9,60,,,14.8,7.1,36710,222,5.6,3.7
2018,6,1,04:50,UTC,0,1022.9,60,,,15,7.3,42668,236,6.4,4
2018,6,1,05:00,UTC,0,1022.8,58,,,15.2,6.9,39493,245,5,3.5
2018,6,1,05:10,UTC,0,1022.7,57,,,15.8,7.2,35197,251,4.2,2.7
2018,6,1,05:20,UTC,0,1022.6,55,,,15.8,6.9,34749,226,4.7,3.1
2018,6,1,05:30,UTC,0,1022.5,55,,,16.1,7.1,44264,235,5.5,3.4
2018,6,1,05:40,UTC,0,1022.4,51,,,16.4,6.2,42295,228,5.5,3.9
2018,6,1,05:50,UTC,0,1022.2,48,,,17,6,47617,226,6.1,4.1
2018,6,1,06:00,UTC,0,1022,49,,,16.8,6.2,46013,233,6.8,4.5
2018,6,1,06:10,UTC,0,1021.9,52,,,17.1,7.2,50000,219,6.5,3.9
2018,6,1,06:20,UTC,0,1021.7,52,,,17.3,7.2,37941,200,6.5,4.1
2018,6,1,06:30,UTC,0,1021.6,50,,,17.5,7.1,42518,191,6.8,4.8
2018,6,1,06:40,UTC,0,1021.6,47,,,18.1,6.6,44274,189,6.2,4.6
2018,6,1,06:50,UTC,0,1021.5,47,,,17.7,6.1,32574,198,6.3,4.4
2018,6,1,07:00,UTC,0,1021.4,44,,,17.8,5.4,35989,204,8.7,5.9
2018,6,1,07:10,UTC,0,1021.4,44,,,17.6,5.2,38632,210,7.9,5.2
2018,6,1,07:20,UTC,0,1021.2,44,,,18.1,5.7,41632,208,8.1,5
2018,6,1,07:30,UTC,0,1021.1,45,,,18.2,6,37065,208,7.7,5.3
2018,6,1,07:40,UTC,0,1021,42,,,17.8,4.8,34332,192,8.3,6.6
2018,6,1,07:50,UTC,0,1020.9,41,,,18.1,4.8,46752,209,8.5,5.5
2018,6,1,08:00,UTC,0,1020.8,40,,,18.4,4.6,33686,210,8.9,5.3
2018,6,1,08:10,UTC,0,1020.7,40,,,18.2,4.5,42783,204,8.6,5.6
2018,6,1,08:20,UTC,0,1020.6,39,,,18.9,4.8,33165,198,8.7,6
2018,6,1,08:30,UTC,0,1020.5,40,,,18.4,4.4,42477,197,8.9,6.1
2018,6,1,08:40,UTC,0,1020.6,38,,,18.4,3.9,38504,202,9.7,7.2
2018,6,1,08:50,UTC,0,1020.6,39,,,18.2,3.9,40712,204,9.5,6.8
2018,6,1,09:00,UTC,0,1020.5,39,,,18.8,4.6,33938,214,9.2,6.1
2018,6,1,09:10,UTC,0,1020.4,38,,,18.7,3.9,34873,207,10.4,6.8
2018,6,1,09:20,UTC,1,1020.3,38,,,18.4,3.9,35798,225,8.4,5.7
2018,6,1,09:30,UTC,2,1020.2,37,,,18.9,3.9,38926,212,9.8,6.1
