Year,m,d,Time,Time zone,Cloud amount (1/8),Pressure (msl) (hPa),Relative humidity (%),Precipitation intensity (mm/h),Snow depth (cm),Air temperature (degC),Dew-point temperature (degC),Horizontal visibility (m),Wind direction (deg),Gust speed (m/s),Wind speed (m/s)
2018,5,1,00:00,UTC,8,1011.1,77,,,7.4,3.6,50000,64,5.9,2.3
2018,5,1,00:10,UTC,8,1010.7,77,,,7.4,3.6,50000,75,4.6,2.7
2018,5,1,00:20,UTC,8,1010.5,76,,,7.5,3.6,50000,63,4.8,2.8
2018,5,1,00:30,UTC,8,1010.2,76,,,7.5,3.6,48833,64,5.9,3.2
2018,5,1,00:40,UTC,8,1010.4,75,,,7.6,3.5,46357,70,5.6,2.8
2018,5,1,00:50,UTC,8,1010.1,75,,,7.7,3.6,39438,69,6.3,3
2018,5,1,01:00,UTC,8,1010,76,,,7.7,3.6,34915,61,4.9,2.8
2018,5,1,01:10,UTC,8,1010,76,,,7.7,3.7,30641,66,4.9,2.8
2018,5,1,01:20,UTC,8,1009.7,77,,,7.7,3.8,31066,56,5.3,3.1
2018,5,1,01:30,UTC,8,1009.4,77,,,7.7,3.9,34914,62,6.6,3.2
2018,5,1,01:40,UTC,8,1009.3,77,,,7.7,4,37458,63,5.5,3.2
2018,5,1,01:50,UTC,8,1009.2,77,,,7.7,4,29835,64,6.4,3.2
2018,5,1,02:00,UTC,7,1008.9,77,,,7.7,4,33513,63,6.3,3.4
2018,5,1,02:10,UTC,7,1008.8,78,,,7.7,4.1,37099,62,5.2,2.8
2018,5,1,02:20,UTC,7,1008.8,79,,,7.7,4.2,40714,60,6.2,3.2
2018,5,1,02:30,UTC,8,1008.8,79,,,7.7,4.3,41478,70,6.4,3.2
2018,5,1,02:40,UTC,8,1008.9,80,,,7.7,4.4,38698,72,5.8,3.2
2018,5,1,02:50,UTC,8,1009.4,80,,,7.7,4.5,41810,63,4.9,3
2018,5,1,03:00,UTC,8,1009.8,80,,,7.8,4.5,37508,59,4.8,2.1
2018,5,1,03:10,UTC,8,1009.9,79,,,7.8,4.5,43782,65,5.1,2.2
2018,5,1,03:20,UTC,8,1009.5,80,,,7.8,4.6,40801,71,3.6,2.3
2018,5,1,03:30,UTC,8,1009.2,80,,,7.8,4.6,43605,61,5.5,2.8
2018,5,1,03:40,UTC,7,1009.1,80,,,7.8,4.6,40825,69,5.5,3
2018,5,1,03:50,UTC,7,1008.9,80,,,7.8,4.6,46170,68,5.6,3.2
